"manitou_sso_access_denied","Votre compte n'a pas pu être créé correctement. Veuillez vérifier que toutes les informations sont à jour dans votre profil (nom, prénom, concession, marque(s)...). Merci de contacter votre administrateur. L'équipe Manitou Group"
"Error alert: An attempt to create an account was unsuccessful due to a technical issue or missing information.","Alerte d'erreur : Une tentative de création de compte a échoué en raison d'un problème technique ou d'informations manquantes."
"The following information has been provided about the user:","Les informations suivantes ont été fournies sur l'utilisateur :"
"Time","Heure"
